,User,Tweet,Location,Retweet Count,Date
2781,DeepakSinghMun9,"RT @BPCLimited: Contributing to nation's progress by adding 1,456 new fuel stations last year, taking our pan India strength to more than 1…",,28,2020-06-06 04:28:36
2782,MTyagi20,"RT @AnilNigam12: Central minister Shri @KPGBJP ji will be live today at 7pm. PL, click to watch it. https://t.co/0JvgKl8Nde
@BJP4India @BJP…","Mayur Vihar, New Delhi",19,2020-06-06 04:23:20
2783,Akansha00790153,"RT @AnilNigam12: Central minister Shri @KPGBJP ji will be live today at 7pm. PL, click to watch it. https://t.co/0JvgKl8Nde
@BJP4India @BJP…",,19,2020-06-06 04:23:16
2784,AmirSuh28444132,"RT @IamOnir: This is how they will build #AtmanirbharBharatAbhiyan . Same entitled breed that murdered #GeorgeFloyd 
On Camera, UP Cop Crus…",India,32,2020-06-06 04:21:46
2785,IamSandipMishra,"RT @AnilNigam12: Central minister Shri @KPGBJP ji will be live today at 7pm. PL, click to watch it. https://t.co/0JvgKl8Nde
@BJP4India @BJP…",,19,2020-06-06 04:19:03
2786,SubhasishKanoo,"@Vivo_India It's so sad Chinese brand like vivo is playing with safety of there Indian customer.  
The IMEI which i… https://t.co/EupCxtBwku",,1,2020-06-06 04:18:22
2787,surinderdogra6,"RT @BPCLimited: Since it can be treated at an early stage, we have invested in a project that detects &amp; treats #CongenitalHeartDefect in ch…",,25,2020-06-06 04:18:08
2788,RuparelKetan,Please consider getting eligible subsidies released rather than directing a solution which would pile more burden o… https://t.co/TSCCneDBx2,"Mumbai, India",0,2020-06-06 04:16:17
2789,time3027,"RT @BPCLimited: Since it can be treated at an early stage, we have invested in a project that detects &amp; treats #CongenitalHeartDefect in ch…","Noida, India",25,2020-06-06 04:05:24
2790,Ash_143_a,"RT @AnilNigam12: Central minister Shri @KPGBJP ji will be live today at 7pm. PL, click to watch it. https://t.co/0JvgKl8Nde
@BJP4India @BJP…","Noida, India",19,2020-06-06 04:04:45
2791,mysaurabh96,"RT @MayankNaithan17: When you take technology and mix with art you always come with something innovative.
VAHANA our @SagarDefence new unma…",Pune,3,2020-06-06 03:59:32
2792,Anu42308010,"RT @AnilNigam12: Central minister Shri @KPGBJP ji will be live today at 7pm. PL, click to watch it. https://t.co/0JvgKl8Nde
@BJP4India @BJP…","Delhi, India",19,2020-06-06 03:58:41
2793,BPCLimited,"Since it can be treated at an early stage, we have invested in a project that detects &amp; treats… https://t.co/6RVX1cwtLv",India,25,2020-06-06 03:58:37
2794,Dhananj43167695,"RT @AnilNigam12: Central minister Shri @KPGBJP ji will be live today at 7pm. PL, click to watch it. https://t.co/0JvgKl8Nde
@BJP4India @BJP…",,19,2020-06-06 03:58:09
2795,Mirat31132626,"RT @IamOnir: This is how they will build #AtmanirbharBharatAbhiyan . Same entitled breed that murdered #GeorgeFloyd 
On Camera, UP Cop Crus…","Rajkot, India",32,2020-06-06 03:54:07
2796,DPresense,"Farming, agriculture, and horticulture are the essential wellspring of business and the main primary source of live… https://t.co/v8yVS0TjCK",Noida,0,2020-06-06 03:52:25
2797,palit1963,"RT @BPCLimited: It has been our endeavour to give you a superior service through technology.
Fuel Kart is our latest offering to ensure tha…",BHUBANESWAR INDIA,41,2020-06-06 03:46:38
2798,palit1963,RT @bpclro_Dhalbhum: The first door to door fuel delivery facility in Jharkhand was inaugurated  at M/s Shree Maharaj Auto Centre  By TM Re…,BHUBANESWAR INDIA,10,2020-06-06 03:46:23
2799,AnilNigam12,"Central minister Shri @KPGBJP ji will be live today at 7pm. PL, click to watch it. https://t.co/0JvgKl8Nde… https://t.co/EYaUJlfeDt",Delhi,19,2020-06-06 03:41:45
2800,pennewstweet,"Farm package: Traders, exporters have better reasons to rejoice
#EconomicPackage #stimuluspackage #Indianeconomy… https://t.co/uvQwC2cWgy",,0,2020-06-06 03:37:26
2801,GovindTodkar,"RT @minmsme: To know more about the financial interventions For MSMEs under Atma-Nirbhar Bharat Abhiyan, Visit the single window system htt…","Mumbai, India",42,2020-06-06 03:20:16
2802,NeeraShastri,RT @MandiraShastri: Double faced dafts are undermining #AtmanirbharBharatAbhiyan and promoting #selfmade business #startups - what on earth…,Delhi,13,2020-06-06 03:15:21
2803,RanjitS05839208,"RT @PapiaDattaBJP: Today we welcome some of the industrialists of our state.I discussed their role in building a self-reliant Tripura.
#Atm…",,6,2020-06-06 03:04:09
2804,jha_yatendra,What’s #AtmaNirbharBharat #AtmanirbharBharatAbhiyan doing a bit as part of our initiative #Socialinnovation… https://t.co/nbCr4M1emB,India,0,2020-06-06 02:56:32
2805,junaidkhan1019,"RT @IamOnir: This is how they will build #AtmanirbharBharatAbhiyan . Same entitled breed that murdered #GeorgeFloyd 
On Camera, UP Cop Crus…",,32,2020-06-06 02:44:45
2806,gabbar_ajayegaa,"Everyone should think about it,
Go Swadeshi, support the country!
#MakeInIndia #swadeshi #AtmanirbharBharatAbhiyan… https://t.co/76BKkTEPO4","Hyderabad, India",0,2020-06-06 02:08:52
2807,Tiwari_Jii_9,RT @PpPiping: Another Marvel Being Added to our Portfolio by Executing one of the most complex Industrial Piping project #VocalForLocal #At…,,41,2020-06-06 01:54:33
2808,BrittoIvor,RT @MandiraShastri: Double faced dafts are undermining #AtmanirbharBharatAbhiyan and promoting #selfmade business #startups - what on earth…,"Mumbai, India.",13,2020-06-06 01:17:10
2809,madhusudan41,Why #AtmanirbharBharatAbhiyan (self-reliant) is  ‘deception’ https://t.co/SplLZAtIQR,Maharashtra. India,0,2020-06-06 01:16:45
2810,madhusudan41,From #Hindu Idols To #Telecom Equipment: Here's Why You Can't Keep #Chinese Goods Away | Outlook India Magazine… https://t.co/igFMeBy8UX,Maharashtra. India,0,2020-06-06 01:11:14
2811,Newaashirainwe1,"Chance makes our parents; but choice makes our friends. 

#SaturdayMorning
#SaturdayThoughts
#Friends #Life… https://t.co/CxNQ1Ji34c","Gujarat, India",0,2020-06-06 01:06:25
2812,aslamabdullah71,"RT @IamOnir: This is how they will build #AtmanirbharBharatAbhiyan . Same entitled breed that murdered #GeorgeFloyd 
On Camera, UP Cop Crus…",Saudi Arabia,32,2020-06-06 00:58:44
2813,monalisa_live,#BoycottChineseApp  it's just the starting. But #SonamWangchuk you showed the practical plan to execute the change.… https://t.co/NUWX9dJf4B,india,0,2020-06-06 00:35:59
2814,DbnathKausik,"RT @PapiaDattaBJP: Today we welcome some of the industrialists of our state.I discussed their role in building a self-reliant Tripura.
#Atm…",India,6,2020-06-06 00:29:50
2815,DeyKana,RT @Sonaliacharjee5: Orienting #AtmanirbharBharatAbhiyan Hon'ble Member of Parliament Smt @PratimaBhoumik Ji set in a meeting along with DM…,,8,2020-06-06 00:07:15
2816,rom_omik,"RT @PapiaDattaBJP: Today we welcome some of the industrialists of our state.I discussed their role in building a self-reliant Tripura.
#Atm…",,6,2020-06-05 22:21:57
2817,HinduNatl,RT @rakeshbollineni: Looks like the #AtmanirbharBharatAbhiyan #20LakhCrorePackage by @PMOIndia @narendramodi has been specifically made for…,India,1,2020-06-05 22:15:43
2818,rakeshbollineni,Looks like the #AtmanirbharBharatAbhiyan #20LakhCrorePackage by @PMOIndia @narendramodi has been specifically made… https://t.co/PQnPZgV3Ky,India,1,2020-06-05 22:02:27
2819,chandanbhat79,"RT @Technocraftltd: Our Mach Deck System is a high octane, high performance modular panel shoring system. It can accommodate drop bands, dr…","Mumbai, India",2,2020-06-05 21:26:50
2820,RizviSalim,#Modi's #AtmanirbharBharatAbhiyan is going ahead by leaps and bounds ... https://t.co/CojQ2b8Mjl,New York City,0,2020-06-05 21:22:10
2821,SyanGurpreet,"RT @IamOnir: This is how they will build #AtmanirbharBharatAbhiyan . Same entitled breed that murdered #GeorgeFloyd 
On Camera, UP Cop Crus…",,32,2020-06-05 21:20:22
2822,Mystiq_knight,@imKapiil @Sevak_Bapu_ka @OpIndia_com Please do #AtmanirbharBharatAbhiyan reasearch and patent it..dont let the rea… https://t.co/R1iNSn2u4E,,0,2020-06-05 20:57:23
2823,SA24388175,"RT @IamOnir: This is how they will build #AtmanirbharBharatAbhiyan . Same entitled breed that murdered #GeorgeFloyd 
On Camera, UP Cop Crus…",India,32,2020-06-05 20:45:56
2824,iAmPhoenix1909,"RT @IamOnir: This is how they will build #AtmanirbharBharatAbhiyan . Same entitled breed that murdered #GeorgeFloyd 
On Camera, UP Cop Crus…",,32,2020-06-05 20:44:27
2825,khan_hindi2020,"RT @IamOnir: This is how they will build #AtmanirbharBharatAbhiyan . Same entitled breed that murdered #GeorgeFloyd 
On Camera, UP Cop Crus…",Mumbai,32,2020-06-05 20:13:56
2826,RumiSiddiqui,"RT @IamOnir: This is how they will build #AtmanirbharBharatAbhiyan . Same entitled breed that murdered #GeorgeFloyd 
On Camera, UP Cop Crus…",India,32,2020-06-05 20:07:34
2827,samsazid,"RT @IamOnir: This is how they will build #AtmanirbharBharatAbhiyan . Same entitled breed that murdered #GeorgeFloyd 
On Camera, UP Cop Crus…",India,32,2020-06-05 20:07:20
2828,winchestergrl95,"RT @IamOnir: This is how they will build #AtmanirbharBharatAbhiyan . Same entitled breed that murdered #GeorgeFloyd 
On Camera, UP Cop Crus…","Gurgaon, India",32,2020-06-05 20:06:32
2829,pennewstweet,"Farm package: Traders, exporters have better reasons to rejoice
#EconomicPackage #stimuluspackage #Indianeconomy… https://t.co/PyDBF4JdOi",,0,2020-06-05 20:05:20
2830,GAUAHAR_KHAN,"RT @IamOnir: This is how they will build #AtmanirbharBharatAbhiyan . Same entitled breed that murdered #GeorgeFloyd 
On Camera, UP Cop Crus…",,32,2020-06-05 19:52:37
2831,petsiroor,"RT @minmsme: To know more about the financial interventions For MSMEs under Atma-Nirbhar Bharat Abhiyan, Visit the single window system htt…","Gulbarga, Karnataka, India",42,2020-06-05 19:09:40
2832,ipratik09,"In my opinion, there is no doubt Many difficult Political action(A370,etc)has been taken by #ModiSarkar but talking… https://t.co/LZ83s08iqH","रायपुर, भारत",0,2020-06-05 19:05:35
2833,AadityaBagwe,"RT @IamOnir: This is how they will build #AtmanirbharBharatAbhiyan . Same entitled breed that murdered #GeorgeFloyd 
On Camera, UP Cop Crus…","Mumbai, India",32,2020-06-05 18:38:43
2834,Banerj1Sb,@BJP4Bengal Be Atmanirbhar. Ask @DilipGhoshBJP and other hambas to use Fleshlight 56 Pro made in India #AtmanirbharBharatAbhiyan,"Kolkata, India",1,2020-06-05 18:27:41
2835,pradiptisalian,"RT @IamOnir: This is how they will build #AtmanirbharBharatAbhiyan . Same entitled breed that murdered #GeorgeFloyd 
On Camera, UP Cop Crus…",,32,2020-06-05 18:26:55
2836,PapiaDattaBJP,Today we welcome some of the industrialists of our state.I discussed their role in building a self-reliant Tripura.… https://t.co/XN4xtkLaJO,"Agartala, India",6,2020-06-05 18:16:08
2837,TheMaans,"RT @IamOnir: This is how they will build #AtmanirbharBharatAbhiyan . Same entitled breed that murdered #GeorgeFloyd 
On Camera, UP Cop Crus…",India,32,2020-06-05 18:11:58
2838,samit_kar9,RT @SambalikaI: Supporting a lot of local groups in making masks with our Sambalpuri handloom under Made in Sambalpur &amp; Atma Nirbharta #bev…,"Sambalpur, India",6,2020-06-05 17:55:56
2839,Amrendr80019861,"RT @minmsme: To know more about the financial interventions For MSMEs under Atma-Nirbhar Bharat Abhiyan, Visit the single window system htt…","Bihar, India ",42,2020-06-05 17:55:35
2840,BobbySelva85,RT @RanvirShorey: Every good idea from @PMOIndia @narendramodi has unfairly &amp; vengefully been mocked &amp; derided by the Left-Congressi ecosys…,Al Khobar,5284,2020-06-05 17:51:56
2841,konvictedd,"India-China face off short analysis. 
In view to create #Nationalism #boycottchineseproduct n contribute to become… https://t.co/nQMwEzaJq0","New Delhi, India",0,2020-06-05 17:51:41
2842,AnkitKushwaaha,RT @jayhulke: @Micromax_Mobile Dear @Micromax_Mobile we indians support you. Please come back with powerful smartphones and devices. We sup…,"New Delhi, India",5,2020-06-05 17:49:49
2843,iamakramazad,"RT @IamOnir: This is how they will build #AtmanirbharBharatAbhiyan . Same entitled breed that murdered #GeorgeFloyd 
On Camera, UP Cop Crus…",,32,2020-06-05 17:41:23
2844,shiv_tiwari09,RT @MandiraShastri: Double faced dafts are undermining #AtmanirbharBharatAbhiyan and promoting #selfmade business #startups - what on earth…,New Delhi- Ayodhya (India),13,2020-06-05 17:36:25
2845,i_am_pawan_,"@UmangKhanna10 I always with my country.
#BoycottChineseProducts 
#AtmanirbharBharatAbhiyan 
#promoteindianproduct",भारत भूमि,0,2020-06-05 17:02:33
2846,andrewvijay,RT @abhishek_venu: India's unplanned lockdown magic. #AtmanirbharBharatAbhiyan https://t.co/rlidhby3s2,Behind you,1,2020-06-05 16:58:03
2847,ShivanjaliDixit,"RT @vipuldutt12: Once we will be No.1  worst hit #covid19 country
Modi will come to television at 8 pm.
Mitro #AtmanirbharBharatAbhiyan sam…",,1,2020-06-05 16:53:29
2848,happymumbaikar,"#AtmanirbharBharatAbhiyan 
Development at any cost. Despite the Pandemic of the virus, our politicians can't look b… https://t.co/G65SvlnELM",,0,2020-06-05 16:53:04
2849,vipuldutt12,"Once we will be No.1  worst hit #covid19 country
Modi will come to television at 8 pm.
Mitro… https://t.co/lvYVxOlH69","Maharashtra, India",1,2020-06-05 16:52:59
2850,Kasivis25631603,"The PM told ""local for vocal"" thought of using Bsnl rather than vodafone but Bsnl had given franchise to private co… https://t.co/XMlHlg6uN7",,0,2020-06-05 16:44:40
2851,MandiraShastri,Double faced dafts are undermining #AtmanirbharBharatAbhiyan and promoting #selfmade business #startups - what on e… https://t.co/99onfWpXfU,India,13,2020-06-05 16:40:50
2852,dratulkpatel,This will help all Gujarat population. Very good step taken towards #AtmanirbharBharatAbhiyan @CMOGuj shri… https://t.co/eJqCpxD60Z,"Kalol, Gandhinagar",0,2020-06-05 16:35:19
2853,Shoaibsr7,"RT @IamOnir: This is how they will build #AtmanirbharBharatAbhiyan . Same entitled breed that murdered #GeorgeFloyd 
On Camera, UP Cop Crus…","Navi Mumbai, India",32,2020-06-05 16:32:44
2854,Deepankar1211,"RT @BPCLimited: It has been our endeavour to give you a superior service through technology.
Fuel Kart is our latest offering to ensure tha…",,41,2020-06-05 16:31:55
2855,a4ce7fa197c0472,RT @SECRETARY_DFPD: Biometrically authenticated free ration distribution under ANBA in UP for two months among migrant workers. #Atmanirbha…,"Jaipur, India",26,2020-06-05 16:31:36
2856,ChaudharyUncle,"I just asked him why do we need #AtmanirbharBharatAbhiyan when we already had #MakeInIndia , and he blocked me.
I g… https://t.co/c9fVafQ2DX",Diamond Comics,0,2020-06-05 16:31:33
2857,CAnareshkp,"RT @minmsme: To know more about the financial interventions For MSMEs under Atma-Nirbhar Bharat Abhiyan, Visit the single window system htt…",,42,2020-06-05 16:30:55
2858,simplere,"RT @IamOnir: This is how they will build #AtmanirbharBharatAbhiyan . Same entitled breed that murdered #GeorgeFloyd 
On Camera, UP Cop Crus…",India,32,2020-06-05 16:28:05
2859,swarada,"RT @Technocraftltd: Our Mach Deck System is a high octane, high performance modular panel shoring system. It can accommodate drop bands, dr…","Pune, India",2,2020-06-05 16:18:59
2860,AdarshKumarMB,@narendramodi @AmitShah @Micromax_Mobile I gone to purchase mobile for my mother I had a choice btwn Indian brand a… https://t.co/ql0qBggyfn,"Mandya, Karnataka",0,2020-06-05 16:15:57
2861,Vickyyyyk_,"Follow #AtmanirbharBharatAbhiyan give importance to local products
#VocalForLocal 
#BoycottMadeInChina… https://t.co/dfoKXqQqOF",,0,2020-06-05 16:06:49
2862,sanaa_blue,"RT @IamOnir: This is how they will build #AtmanirbharBharatAbhiyan . Same entitled breed that murdered #GeorgeFloyd 
On Camera, UP Cop Crus…","Kolkata, India",32,2020-06-05 16:06:31
2863,Raj45897727,@IamOnir @ndtv Have you understood what does  #AtmanirbharBharatAbhiyan  means? How the economic model works? How i… https://t.co/81vWq3KnLe,India,0,2020-06-05 16:05:33
2864,yasserkhan,"RT @IamOnir: This is how they will build #AtmanirbharBharatAbhiyan . Same entitled breed that murdered #GeorgeFloyd 
On Camera, UP Cop Crus…",,32,2020-06-05 16:05:17
2865,N_Khan60,"RT @IamOnir: This is how they will build #AtmanirbharBharatAbhiyan . Same entitled breed that murdered #GeorgeFloyd 
On Camera, UP Cop Crus…","नई दिल्ली, भारत",32,2020-06-05 16:04:03
2866,nohate731,"RT @IamOnir: This is how they will build #AtmanirbharBharatAbhiyan . Same entitled breed that murdered #GeorgeFloyd 
On Camera, UP Cop Crus…",I feel like  I am anti-racist ,32,2020-06-05 16:03:37
2867,IamOnir,"This is how they will build #AtmanirbharBharatAbhiyan . Same entitled breed that murdered #GeorgeFloyd 
On Camera,… https://t.co/caAecknHNv","ÜT: 19.138741,72.820079",32,2020-06-05 16:02:39
2868,rohanduaTOI,"RT @anubhutivishnoi: 116 districts in 6 states with high proportion of returned migrant workers- are focus of #AtmanirbharBharatAbhiyan.

M…",Chandigarh- J&K - Delhi - UP,7,2020-06-05 16:02:34
2869,aviationoholic,Are we ready to shut all trade with China ? #ActNowSaveIndia #AtmanirbharBharatAbhiyan,"Chennai, India",0,2020-06-05 16:01:48
2870,abhishek_venu,India's unplanned lockdown magic. #AtmanirbharBharatAbhiyan https://t.co/rlidhby3s2,Mysore,1,2020-06-05 15:48:26
2871,BharatgasManhas,RT @BPCLimited: #BPCL along with its fully owned subsidiary #BGRL is developing City Gas Distribution (#CGD) network in 17 Geographical Are…,Satwari,18,2020-06-05 15:46:43
2872,Kailashkyada,"RT @Indiagri: #AgriNews #AgriPolicy

To provide #rural employment amid #COVID19, govt has allocated an all-time high amount of Rs 61,500 cr…",chatra jharkhand,21,2020-06-05 15:35:34
2873,DrContractual,"RT @Indiagri: #AgriNews #AgriPolicy

To provide #rural employment amid #COVID19, govt has allocated an all-time high amount of Rs 61,500 cr…",,21,2020-06-05 15:28:14
2874,siddarthpaim,Need Pharma ministry to think #AtmanirbharBharatAbhiyan on this @DVSadanandGowda @drharshvardhan @narendramodi https://t.co/yrtZ1fVbLH,Bengaluru,0,2020-06-05 15:16:04
2875,sai_bunga,RT @sai_bunga: @amazonIN First mention every products manufacturing country. That is will be more helpful for our nation.#AtmanirbharBharat…,"Kurnool, India",1,2020-06-05 14:50:54
2876,FobKanker,"RT @PIB_India: Government committed to the cause of farmer welfare

✅ Series of steps announced as part of #AtmanirbharBharatAbhiyan

✅ 9.5…",,47,2020-06-05 14:50:26
2877,sai_bunga,@amazonIN First mention every products manufacturing country. That is will be more helpful for our nation.… https://t.co/2sKDerhlUb,"Kurnool, India",1,2020-06-05 14:50:10
2878,biswal_sukanta,"RT @ETNOWlive: What will the #AtmanirbharBharatAbhiyan  spell for India's oil &amp; gas, steel sectors? We ask Cabinet Minister, Dharmendra Pra…","CDA,Cuttack",280,2020-06-05 14:43:08
2879,Captaindksingh,"RT @INSA_Mumbai: A well thought out piece in time for a #AtmanirbharBharatAbhiyan in #Indianshipping
@IndiaEximBank
@shipmin_india @CimGOI…","Navi Mumbai, India",4,2020-06-05 14:31:52
2880,Viz_b4u,RT @ChemistsMart: https://t.co/Kgyspr6l1t Now delivery pan India with 10% cash back on products other than #Janaushadhi. #medicine #Atmanir…,Ghaziabad,4,2020-06-05 14:22:50
2881,PrasharSdp,"RT @INSA_Mumbai: A well thought out piece in time for a #AtmanirbharBharatAbhiyan in #Indianshipping
@IndiaEximBank
@shipmin_india @CimGOI…","Mumbai, Maharashtra",4,2020-06-05 14:20:53
2882,akshaynarsale69,"RT @Smitha_IASfans: Let's buy local products only...  #atmanirbharbharat #AtmaNirbharBharatAbhiyan 
#LocalKeLiyeVocal #MadeInBharat",Ahmednagar,17,2020-06-05 14:04:45
2883,kinurajsokhi,"RT @minmsme: To know more about the financial interventions For MSMEs under Atma-Nirbhar Bharat Abhiyan, Visit the single window system htt…","Maharashtra, India",42,2020-06-05 13:59:18
2884,jaysonruzario,@highspeedION forget Entertainment to enable us to work from home #AtmanirbharBharatAbhiyan  at least resolve our c… https://t.co/7d6Kj55zEL,,0,2020-06-05 13:53:33
2885,aiai_india,"RT @minmsme: To know more about the financial interventions For MSMEs under Atma-Nirbhar Bharat Abhiyan, Visit the single window system htt…",Mumbai,42,2020-06-05 13:48:53
2886,ranjith_asp,"RT @IndianOilcl: ”There will be no change in our capital expenditure because of the pandemic.” - Mr. Sanjiv Singh, Chairman, IndianOil #Pro…",Delhi NCR,18,2020-06-05 13:46:56
2887,VRagesh,"RT @Horcrux_artwork: BOYCOTT CHINA|ATMA NIRBHAR BHARAT|CHINA DEBT TRAP|HORCRUX ARTWORKS|2020

#BoycottChineseProducts 
#boycottchineseapps…",,2,2020-06-05 13:24:26
2888,soundofmuzak1,"RT @IamMisterBond: ""We don't want donations, we want work""- Indian craftspeople

Let's stand with our own in these dark times. 

Go to http…",,2,2020-06-05 13:19:45
2889,INSA_Mumbai,"A well thought out piece in time for a #AtmanirbharBharatAbhiyan in #Indianshipping
@IndiaEximBank
@shipmin_india… https://t.co/FztitSShGi","Mumbai, India",4,2020-06-05 13:19:30
2890,DineshMoha9,"RT @Horcrux_artwork: BOYCOTT CHINA|ATMA NIRBHAR BHARAT|CHINA DEBT TRAP|HORCRUX ARTWORKS|2020

#BoycottChineseProducts 
#boycottchineseapps…","Coimbatore, India",2,2020-06-05 13:19:03
2891,Horcrux_artwork,"BOYCOTT CHINA|ATMA NIRBHAR BHARAT|CHINA DEBT TRAP|HORCRUX ARTWORKS|2020

#BoycottChineseProducts… https://t.co/pVGjzx731r",India,2,2020-06-05 13:18:51
2892,IMTIAZ45908565,"RT @iaditityagi: Well said @milindrunning ..
#AtmanirbharBharatAbhiyan",,10,2020-06-05 13:16:19
2893,ganesh_pgr,"RT @vardhan08: The Central Government has been working towards enhancing learning opportunities for all the students of the nation.
#ModiBe…","Kurnool, India",2,2020-06-05 13:09:32
2894,DrRahul_rss,"RT @poonam_mahajan: On 30th May, the @narendramodi ji Govt 2.0 completes one year in office. My entire @BJYM team will dedicate this week t…",New Delhi / Ballia ,434,2020-06-05 13:09:15
2895,kaggoluharishb1,"RT @vardhan08: The Central Government has been working towards enhancing learning opportunities for all the students of the nation.
#ModiBe…",,2,2020-06-05 13:08:28
2896,rahulrajoriaa,"Kudos To all Covid_19 Warriors
#Humkarsaktehai #AtmanirbharBharatAbhiyan
#BoycottMadeInChina 
@PMOIndia… https://t.co/Sv7AJoi6pU",Ratnagiri,0,2020-06-05 13:05:22
2897,Ashwini00100,He is right ....An opportunity for India to become the global manufacturing hub in next 10 years maybe… https://t.co/PuTsFyK5Uk,,0,2020-06-05 13:03:48
2898,Himangs70465371,https://t.co/vLGq99LNeJ alternative indian app we can use in place of chinese applications… https://t.co/JH8fFSqa02,India,0,2020-06-05 12:38:33
2899,orfonline,"#AtmanirbharBharatAbhiyan has certainly opened up a huge opportunity for India’s solar ambition. However, it is als… https://t.co/a0XhObjXR5",India,2,2020-06-05 12:29:14
2900,pennewstweet,"Farm package: Traders, exporters have better reasons to rejoice
#EconomicPackage #stimuluspackage #Indianeconomy… https://t.co/XcbVNgVSzi",,0,2020-06-05 12:27:39
2901,Takshakspeaks,"#BoycottChineseApp 
The money generated by Chinese apps is used against us on Border 
Please delete all Chinese app… https://t.co/JcxzHJEbWF","Pune, India",0,2020-06-05 12:08:36
2902,Satyam3810,"@AkulB @TarishiSharma @airindiain @HardeepSPuri @MoCA_GoI @PMOIndia Oppss, let’s confirm wether do they remember wh… https://t.co/1VOG4inf3j","London, England",0,2020-06-05 12:07:57
2903,Ninja43239154,RT @jayhulke: @Micromax_Mobile Dear @Micromax_Mobile we indians support you. Please come back with powerful smartphones and devices. We sup…,,5,2020-06-05 11:54:52
2904,tanmaynagpal,"@narendramodi @PMOIndia @rsprasad @PrakashJavdekar @JPNadda @SubramanianKri time to pass land acquition bill, simpl… https://t.co/5uP3Y6qKWm",New Delhi,0,2020-06-05 11:35:40
2905,akashs_patil,"RT @kimaya__mhatre: Acquiring India’s land is no one’s cup of tea. New india will push you back with the greatest intensity. 
Down with Chi…","Kalyan Dombivali, India",1,2020-06-05 11:28:21
2906,azadpar19206713,Australian farmers jubilant as India slashes tariffs temporarilyn #AtmanirbharBharatAbhiyan umm yep import grains https://t.co/FOQ1mkkXUd,Blue Earth,0,2020-06-05 11:27:56
2907,TheAsianAgeNews,"This is an act of self deception. This is another 'jumla' (rhetoric) that you sell to the people of the country, Ka… https://t.co/XW7e7Mt15q",India,0,2020-06-05 11:05:29
2908,ukshahi,RT @RomeshNadir: @RajBoni @bgopu1973 @shreikanth @harshasherni @RajiIndustani @Mahesh10816 @KumarSarangapa1 @kalpavirksha @JumbuTweeple @Sh…,"New Delhi, India",6,2020-06-05 10:34:04
2909,RajeshMBrahmbh1,RT @RajeshMBrahmbh1: Thanks Gujrat Government #AtmanirbharBharatAbhiyan @vijayrupani @vvaghelabjp @Maulik_dave_17 @BJP4Gujarat @SunitaNandw…,"Gandhinagar, India",3,2020-06-05 10:33:25
2910,JoganiSajjan,@nitin_gadkari I request you to please ask finance minister &amp; GST Committee to take Electricity bill into GST so th… https://t.co/GbF8yh3zDa,,0,2020-06-05 10:32:48
2911,JoganiSajjan,@narendramodi @myogiadityanath I request you to please ask finance minister &amp; GST Committee to take Electricity bil… https://t.co/ZlaZlNiGdz,,0,2020-06-05 10:32:38
2912,JoganiSajjan,@CMOMaharashtra I request you to please ask finance minister &amp; GST Committee to take Electricity bill into GST so t… https://t.co/anlVl9XlnP,,0,2020-06-05 10:32:15
2913,akula_sp,RT @IYRKRao: My article on #AtmanirbharBharatAbhiyan https://t.co/iAMZbPQpKI,Tirumala,12,2020-06-05 10:10:30
2914,NettCode_,"https://t.co/2FjIY1JpJO is proud to be a make in India Freelance Workplace. Go Vocal for Local

#vocalforlocal… https://t.co/TS5TQtJCrS","Pune, India",0,2020-06-05 10:09:35
2915,kesarikokeri,"RT @Aslam_khader: Yesterday BJP bought 2 Congress MLAs in Gujarat for Rajya Sabha election.

Today 3 BJP MLAs tested COVID positive so they…",,5,2020-06-05 10:00:09
2916,BpclStateLPGUP,RT @bpclro_Dhalbhum: The first door to door fuel delivery facility in Jharkhand was inaugurated  at M/s Shree Maharaj Auto Centre  By TM Re…,"Lucknow, India",10,2020-06-05 09:59:29
2917,Me_Mumbaiker,"@Dr_Me_Shi @PMO @HMO We The People of India demand  this Quota system in Political Governance,Judiciary,Army,Commer… https://t.co/tlt08FxfLQ",Planet Earth,0,2020-06-05 09:51:58
2918,DeyKana,RT @PratimaBhoumik: Attend a meeting on #AtmanirbharBharatAbhiyan along with DM and all SDMs of Sipahijala District at Sipahijala DM office…,,19,2020-06-05 09:51:04
2919,Urmiladev,"RT @Indiagri: #AgriNews #AgriPolicy

To provide #rural employment amid #COVID19, govt has allocated an all-time high amount of Rs 61,500 cr…","Chakia, India",21,2020-06-05 09:49:24
2920,DeshmukhUrvi,"@rsprasad Hello sir,
Hope you are doing well!!!
As a Electronics engineer , I am looking for venture idea which is… https://t.co/JNQLeO8XlE",,0,2020-06-05 09:47:33
2921,PdMadan,"RT @Indiagri: #AgriNews #AgriPolicy

To provide #rural employment amid #COVID19, govt has allocated an all-time high amount of Rs 61,500 cr…",India,21,2020-06-05 09:47:02
2922,RajeshChakram,"RT @anubhutivishnoi: 116 districts in 6 states with high proportion of returned migrant workers- are focus of #AtmanirbharBharatAbhiyan.

M…",Singapore,7,2020-06-05 09:43:59
2923,ChandnaManu,"RT @rana_ashutosh: Thank you very much for your kind words Mr Rathi. Our team is working with full dedication to support and assist MSMEs,…",,4,2020-06-05 09:33:46
2924,Technocraftltd,"Our Mach Deck System is a high octane, high performance modular panel shoring system. It can accommodate drop bands… https://t.co/gEROczAR8h",India,2,2020-06-05 09:22:06
